SiteID,Enroll_year,Restoration_FY
00XXJ,2016,na
0074F,2001,2004
0075V,2001,2002
00VTR,2010,2013
0077R,2002,2005
0078F,2003,2004
0078S,2003,2004
0078Z,2003,2006
007BQ,2004,2005
007BY,2004,2006
007F5,2005,2007
00MBG,2010,2011
00MJC,2010,2012
007KH,2006,2009
00MDP,2009,2012
00MJ8,2010,2011
00MJ9,2010,2011
00792,2003,2006
007C6,2004,2005
00WSC,2010,2011
00WV0,2010,2013
00WKB,2010,2011
00XMS,2011,2012
00XMV,2010,2011
00XYF,2011,2011
00NCQ,2013,2015
00XX7,2013,2015
00XXK,2013,2015
0129D,2013,2016
0129G,2013,2015
007G4,1996,1999
01DBS,2015,2017
007HN,1996,1997
007HP,1996,1997
007R5,1999,2002
007CQ,1996,1996
00WY5,2010,2011
007V4,1999,2003
007V7,1999,2001
007WP,2000,2002
007XH,2000,2002
01GPM,2016,na
Oliver Prairie,NA,NA
Westport Drumlin,NA,NA
Arena Hill Prairie,NA,NA
Black Earth Rettenmund,NA,NA
Faville prairie,NA,NA
John Muir County Park,NA,NA
Pleasant Valley Conservancy,NA,NA
Lulu lake,NA,NA
Scuppernog,NA,NA
UW-Arboretum,NA,NA
Hauser Road,NA,NA
Snapper Prairie,NA,NA
