EasementID,Month,Day,Sample,Year,Family,Total
0077R,7,17,T1,2019,Aphrophoridae,1
0077R,7,17,T1,2019,Braconidae,1
0077R,7,17,T1,2019,Cecidomyiidae,3
0077R,7,17,T1,2019,Chloropidae,35
0077R,7,17,T1,2019,Cicadellidae,50
0077R,7,17,T1,2019,COLUNK,1
0077R,7,17,T1,2019,Eulophidae,7
0077R,7,17,T1,2019,Eupelmidae,118
0077R,7,17,T1,2019,Eurytomidae,13
0077R,7,17,T1,2019,Formicidae,1
0077R,7,17,T1,2019,Ichneumonidae,1
0077R,7,17,T1,2019,LEPUNK,4
0077R,7,17,T1,2019,Miridae,5
0077R,7,17,T1,2019,Mymaridae,1
0077R,7,17,T1,2019,Nabidae,2
0077R,7,17,T1,2019,Noctuidae,1
0077R,7,17,T1,2019,Phalacridae,5
0077R,7,17,T1,2019,Staphylinidae,1
0077R,7,17,T1,2019,Tettigoniidae,1
0077R,7,17,T1,2019,Thripidae,21
0077R,7,17,T2,2019,Anthocoridae,26
0077R,7,17,T2,2019,Braconidae,1
0077R,7,17,T2,2019,Chironomidae,1
0077R,7,17,T2,2019,Chloropidae,31
0077R,7,17,T2,2019,Cicadellidae,64
0077R,7,17,T2,2019,COLUNK,1
0077R,7,17,T2,2019,Dolichopodidae,1
0077R,7,17,T2,2019,Eulophidae,15
0077R,7,17,T2,2019,Eurytomidae,8
0077R,7,17,T2,2019,Figitidae,3
0077R,7,17,T2,2019,Formicidae,5
0077R,7,17,T2,2019,Latridiidae,2
0077R,7,17,T2,2019,LEPUNK,6
0077R,7,17,T2,2019,Miridae,16
0077R,7,17,T2,2019,Mordellidae,1
0077R,7,17,T2,2019,Nabidae,3
0077R,7,17,T2,2019,Nitidulidae,5
0077R,7,17,T2,2019,Phalacridae,4
0077R,7,17,T2,2019,Psyllidae,7
0077R,7,17,T2,2019,Pteromalidae,5
0077R,7,17,T2,2019,Thripidae,141
0077R,7,17,T3,2019,Acrididae,1
0077R,7,17,T3,2019,Anthocoridae,1
0077R,7,17,T3,2019,Chloropidae,122
0077R,7,17,T3,2019,Chrysomelidae,2
0077R,7,17,T3,2019,Cicadellidae,3
0077R,7,17,T3,2019,COLUNK,4
0077R,7,17,T3,2019,Culicidae,8
0077R,7,17,T3,2019,Curculionidae,1
0077R,7,17,T3,2019,DIPUNK,1
0077R,7,17,T3,2019,Eulophidae,43
0077R,7,17,T3,2019,Eurytomidae,3
0077R,7,17,T3,2019,Formicidae,1
0077R,7,17,T3,2019,HEMUNK,2
0077R,7,17,T3,2019,HYMUNK,2
0077R,7,17,T3,2019,LEPUNK,1
0077R,7,17,T3,2019,Miridae,4
0077R,7,17,T3,2019,Muscidae,1
0077R,7,17,T3,2019,Nitidulidae,1
0077R,7,17,T3,2019,Phalacridae,24
0077R,7,17,T3,2019,Pteromalidae,74
0077R,7,17,T3,2019,Simuliidae,3
0077R,7,17,T3,2019,Thripidae,55
0077R,7,17,T3,2019,Ulidiidae,1
0077R,8,13,T1,2019,Acrididae,1
0077R,8,13,T1,2019,Cercopidae,2
0077R,8,13,T1,2019,Chloropidae,4
0077R,8,13,T1,2019,Cicadellidae,7
0077R,8,13,T1,2019,Eulophidae,27
0077R,8,13,T1,2019,Eurytomidae,2
0077R,8,13,T1,2019,Formicidae,1
0077R,8,13,T1,2019,HYMUNK,1
0077R,8,13,T1,2019,LEPUNK,2
0077R,8,13,T1,2019,Mymaridae,3
0077R,8,13,T1,2019,Perilampidae,1
0077R,8,13,T1,2019,Phalacridae,6
0077R,8,13,T1,2019,Platygastridae,1
0077R,8,13,T1,2019,Reduviidae,1
0077R,8,13,T1,2019,Thripidae,6
0077R,8,13,T2,2019,Anthocoridae,50
0077R,8,13,T2,2019,Aphelinidae,1
0077R,8,13,T2,2019,Aphididae,4
0077R,8,13,T2,2019,Braconidae,1
0077R,8,13,T2,2019,Chloropidae,3
