EasementID,enroll_year,rest_year
0074F,2001,2004
0074X,2001,2002
0075V,2001,2002
00VTR,2010,2013
0077R,2002,2005
0078F,2003,2004
0078S,2003,2004
0078Z,2003,2006
007BY,2004,2006
007F5,2005,2007
00MBG,2010,2011
00MJC,2010,2012
007KH,2006,2009
00MDP,2009,2012
00MJ8,2010,2011
00MJ9,2010,2011
792,2003,2006
007C6,2004,2005
00WSC,2010,2011
00WV0,2010,2013
00WKB,2010,2011
00XMS,2011,2012
00XMV,2010,2011
00XYF,2011,2011
00NCQ,2013,2015
00XX7,2013,2015
00XXK,2013,2015
0129G,2013,2015
01DBS,2015,2017
007R5,1999,2002
007CQ,1996,1996
00WY5,2010,2011
007V7,1999,2001
007XH,2000,2002
