Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL
0077R_2019,Species richness,53,59.04543396226415,8.163135063990254,53,75.04488468862111
0077R_2019,Shannon diversity,14.817075622025595,15.178201078243688,0.5211229903773782,14.156818785588213,16.199583370899163
0077R_2019,Simpson diversity,9.783202286949784,9.84853588430792,0.35084146169554,9.160899255101272,10.536172513514567
0078F_2020,Species richness,56,64.98706896551724,11.127458634926057,56,86.79648712943154
0078F_2020,Shannon diversity,17.248126757004854,18.140519822533815,0.9358846164072155,16.30621968069059,19.97481996437704
0078F_2020,Simpson diversity,7.908057986156458,7.987450462351373,0.5465740465449754,6.916185016238902,9.058715908463844
0078S_2019,Species richness,46,71.71526151444183,13.792299633523404,46,98.74767206013269
0078S_2019,Shannon diversity,18.272211785175614,20.289091835392007,1.442641338924198,17.461566768491938,23.116616902292076
0078S_2019,Simpson diversity,11.283355795148246,11.610464105684004,0.9380613472300212,9.77189764982404,13.449030561543967
0078S_2020,Species richness,68,86.04144813519814,12.171047835230743,68,109.89626354636458
0078S_2020,Shannon diversity,25.428145073361595,26.835270673650186,1.1645227869685502,24.552847952015618,29.117693395284753
0078S_2020,Simpson diversity,14.127115716753027,14.34687426832123,0.769044734446762,12.839574286305407,15.854174250337053
00792_2019,Species richness,74,113.01826160815402,15.255268121721738,83.11848551507742,142.91803770123062
00792_2019,Shannon diversity,20.954310764273227,22.405502856958808,1.2973388565856887,19.862765422306484,24.948240291611132
00792_2019,Simpson diversity,8.826101721776338,8.905118002195376,0.691453075183492,7.549894877836266,10.260341126554486
007BY_2019,Species richness,48,55.187543252595155,7.387593871123202,48,69.66696117240546
007BY_2019,Shannon diversity,16.88333568720328,17.785658094621102,0.9655369387911474,15.893240468847399,19.678075720394805
007BY_2019,Simpson diversity,8.822796175989014,8.944057069298465,0.6506022441358958,7.668900102531174,10.219214036065756
007C6_2019,Species richness,64,80.03644179894181,12.320212571894839,64,104.18361472173328
007C6_2019,Shannon diversity,19.637829170629566,20.67917108593447,1.1536440268750274,18.41807034227966,22.940271829589282
007C6_2019,Simpson diversity,9.337779895188184,9.431507949253238,0.6940275113892808,8.071239022650285,10.79177687585619
007C6_2020,Species richness,45,70.67111111111112,16.856838281251935,45,103.70990703558097
