Site,Diversity,Observed,Estimator,s.e.,LCL,UCL
Westport Drumlin_2020,Species richness,74,130.16,29.511,95.335,221.826
Westport Drumlin_2020,Shannon diversity,27.318,30.377,1.842,27.318,33.988
Westport Drumlin_2020,Simpson diversity,14.532,14.855,1.069,14.532,16.951
Pleasant Valley Conservancy_2020,Species richness,56,59.564,3.09,56.821,71.464
Pleasant Valley Conservancy_2020,Shannon diversity,21.288,22.833,1.473,21.288,25.72
Pleasant Valley Conservancy_2020,Simpson diversity,10.207,10.417,0.942,10.207,12.264
Oliver Prairie_2020,Species richness,27,43.061,11.522,31.543,83.786
Oliver Prairie_2020,Shannon diversity,19.749,29.29,4.562,20.348,38.232
Oliver Prairie_2020,Simpson diversity,14.062,18.061,4.056,14.062,26.01
John Muir County Park_2020,Species richness,60,78.036,11.629,65.679,117.282
John Muir County Park_2020,Shannon diversity,23.319,24.82,1.18,23.319,27.133
John Muir County Park_2020,Simpson diversity,13.27,13.516,0.931,13.27,15.341
Faville_2020,Species richness,31,59.56,19.586,39.458,127.436
Faville_2020,Shannon diversity,21.401,30.752,4.631,21.677,39.828
Faville_2020,Simpson diversity,16.458,20.169,2.79,16.458,25.638
Black Earth Rettenmund_2020,Species richness,68,101.01,18.94,79.603,161.914
Black Earth Rettenmund_2020,Shannon diversity,28.6,31.126,1.615,28.6,34.292
Black Earth Rettenmund_2020,Simpson diversity,16.948,17.388,1.231,16.948,19.802
Arena Hill Prairie_2020,Species richness,61,70.36,6.327,63.813,92.147
Arena Hill Prairie_2020,Shannon diversity,19.862,21.101,1.09,19.862,23.238
Arena Hill Prairie_2020,Simpson diversity,10.529,10.689,0.651,10.529,11.965
01DBS_2020,Species richness,28,35.087,5.861,29.722,57.17
01DBS_2020,Shannon diversity,17.569,20.463,1.974,17.569,24.332
01DBS_2020,Simpson diversity,13.167,14.574,1.694,13.167,17.895
0129G_2019,Species richness,45,58.967,9.878,49.009,93.662
0129G_2019,Shannon diversity,18.081,19.502,1.25,18.081,21.953
0129G_2019,Simpson diversity,10.712,10.965,0.827,10.712,12.585
0129G_2020,Species richness,23,31.929,10.096,24.508,75.877
0129G_2020,Shannon diversity,16.554,18.854,1.657,16.554,22.101
0129G_2020,Simpson diversity,13.274,14.72,1.538,13.274,17.734
00XYF_2019,Species richness,53,73.609,13.462,59.407,119.293
00XYF_2019,Shannon diversity,19.519,20.818,1.004,19.519,22.787
00XYF_2019,Simpson diversity,11.997,12.217,0.69,11.997,13.569
00XXK_2020,Species richness,45,64.913,11.784,51.803,103.285
00XXK_2020,Shannon diversity,20.897,24.457,2.113,20.897,28.599
00XXK_2020,Simpson diversity,13.153,13.894,1.303,13.153,16.447
00XX7_2019,Species richness,60,90.191,17.603,70.457,147.164
00XX7_2019,Shannon diversity,20.13,22.101,1.476,20.13,24.994
00XX7_2019,Simpson diversity,10.516,10.714,0.803,10.516,12.289
00XMV_2019,Species richness,44,65.081,16.399,49.475,125.177
00XMV_2019,Shannon diversity,12.887,13.822,1.056,12.887,15.892
00XMV_2019,Simpson diversity,5.904,5.965,0.499,5.904,6.944
00WY5_2019,Species richness,48,68.588,13.449,54.4,114.229
00WY5_2019,Shannon diversity,21.641,23.867,1.545,21.641,26.895
00WY5_2019,Simpson diversity,13.496,13.96,1.172,13.496,16.258
00WV0_2019,Species richness,59,77.038,11.631,64.68,116.29
00WV0_2019,Shannon diversity,22.115,23.38,1.048,22.115,25.433
00WV0_2019,Simpson diversity,13.585,13.818,0.728,13.585,15.244
00WV0_2020,Species richness,49,66.944,11.192,54.834,104.192
00WV0_2020,Shannon diversity,24.131,27.067,1.862,24.131,30.716
00WV0_2020,Simpson diversity,15.95,16.734,1.394,15.95,19.466
00VTR_2019,Species richness,52,66.209,9.333,56.393,97.958
00VTR_2019,Shannon diversity,6.342,6.564,0.354,6.342,7.258
00VTR_2019,Simpson diversity,2.706,2.711,0.124,2.706,2.954
00NCQ_2019,Species richness,71,83.788,8.368,74.969,112.207
00NCQ_2019,Shannon diversity,21.138,22.052,0.991,21.138,23.993
00NCQ_2019,Simpson diversity,9.641,9.719,0.612,9.641,10.919
00NCQ_2020,Species richness,75,91.181,10.027,80.294,124.462
00NCQ_2020,Shannon diversity,29.713,31.451,1.4,29.713,34.194
00NCQ_2020,Simpson diversity,16.619,16.924,0.974,16.619,18.832
00MJC_2019,Species richness,58,83.755,16.129,66.341,137.524
00MJC_2019,Shannon diversity,12.534,13.218,0.752,12.534,14.692
00MJC_2019,Simpson diversity,5.55,5.581,0.341,5.55,6.249
00MJC_2020,Species richness,46,72.929,17.577,54.378,132.558
00MJC_2020,Shannon diversity,20.701,22.892,1.5,20.701,25.833
00MJC_2020,Simpson diversity,13.884,14.372,0.978,13.884,16.289
00MJ9_2019,Species richness,54,70.045,11.022,58.744,108.268
00MJ9_2019,Shannon diversity,20.977,22.312,1.061,20.977,24.391
00MJ9_2019,Simpson diversity,12.22,12.449,0.759,12.22,13.937
00MJ8_2019,Species richness,52,75.101,14.763,59.337,124.735
00MJ8_2019,Shannon diversity,14.083,15.135,1.012,14.083,17.119
00MJ8_2019,Simpson diversity,6.489,6.553,0.456,6.489,7.447
00MDP_2019,Species richness,59,75.037,10.253,64.091,109.517
00MDP_2019,Shannon diversity,16.98,17.793,0.924,16.98,19.604
00MDP_2019,Simpson diversity,9.204,9.292,0.521,9.204,10.313
00MBG_2019,Species richness,51,64.977,9.884,55.012,99.694
00MBG_2019,Shannon diversity,19.544,20.703,1.079,19.544,22.818
00MBG_2019,Simpson diversity,11.944,12.163,0.691,11.944,13.517
00MBG_2020,Species richness,49,66.951,11.197,54.836,104.214
00MBG_2020,Shannon diversity,20.076,22.172,1.617,20.076,25.342
00MBG_2020,Simpson diversity,11.537,11.876,1.113,11.537,14.057
007XH_2019,Species richness,59,76.969,11.207,64.843,114.265
007XH_2019,Shannon diversity,27.308,29.331,1.398,27.308,32.071
007XH_2019,Simpson diversity,18.77,19.359,1.09,18.77,21.495
007XH_2020,Species richness,55,73.73,13.067,60.451,119.353
007XH_2020,Shannon diversity,17.057,17.79,0.792,17.057,19.343
007XH_2020,Simpson diversity,9.375,9.461,0.539,9.375,10.517
007V7_2019,Species richness,60,91.944,23.284,68.887,174.824
007V7_2019,Shannon diversity,27.35,29.659,1.654,27.35,32.9
