Assemblage,n,S.obs,SC,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0077R_2019,1325,53,0.9917,11,10,7,1,4,1,1,2,1,0
0078F_2020,696,56,0.9828,12,8,10,1,4,2,2,1,2,2
0078S_2020,858,68,0.9802,17,8,6,5,3,6,1,2,1,0
0078S_2019,366,46,0.9482,19,7,4,1,2,1,1,1,1,0
00792_2019,883,74,0.9717,25,8,6,3,3,4,1,2,4,2
007BY_2019,578,48,0.9793,12,10,5,2,0,0,0,3,2,0
007C6_2019,840,64,0.9798,17,9,6,7,3,0,1,1,2,1
007C6_2020,225,45,0.9158,19,7,7,1,1,2,0,1,1,0
007CQ_2020,917,74,0.9695,28,7,6,7,3,0,1,1,1,2
007F5_2019,385,52,0.9559,17,7,2,2,4,4,1,3,1,1
007R5_2019,1294,74,0.983,22,12,6,3,3,2,3,0,1,3
007V7_2019,570,60,0.972,16,4,5,9,3,4,1,3,3,1
007XH_2019,585,59,0.9693,18,9,4,2,3,2,2,1,1,1
007XH_2020,930,55,0.9839,15,6,4,2,4,3,2,2,1,0
00MBG_2019,609,51,0.977,14,7,6,4,2,2,0,1,0,2
00MBG_2020,370,49,0.9515,18,9,4,2,0,2,2,0,1,0
00MDP_2019,873,59,0.9806,17,9,2,3,6,3,4,2,1,2
00MJ8_2019,558,52,0.9678,18,7,4,4,2,4,2,0,1,3
00MJ9_2019,611,54,0.9755,15,7,4,3,5,3,2,1,0,0
00MJC_2020,381,46,0.9528,18,6,2,2,4,0,1,1,1,0
00MJC_2019,837,58,0.9773,19,7,5,2,6,4,1,2,3,0
00NCQ_2020,868,75,0.9793,18,10,7,3,6,3,4,0,2,4
00NCQ_2019,1072,71,0.9851,16,10,7,6,5,0,0,2,3,1
00VTR_2019,1056,52,0.9849,16,9,6,1,5,0,3,0,1,2
00WV0_2020,320,49,0.9439,18,9,4,2,1,1,1,0,1,1
00WV0_2019,748,59,0.9773,17,8,4,7,1,1,4,0,1,1
00WY5_2019,377,48,0.955,17,7,4,2,3,2,0,1,0,0
00XMV_2019,481,44,0.973,13,4,5,5,7,1,0,0,2,0
00XX7_2019,515,60,0.9573,22,8,5,6,4,1,1,3,0,0
00XXK_2020,229,45,0.913,20,10,1,3,1,1,1,0,2,0
00XYF_2019,613,53,0.9723,17,7,5,5,3,1,1,1,1,0
0129G_2019,423,45,0.967,14,7,4,2,4,0,1,2,1,0
0129G_2020,126,23,0.9526,6,2,1,2,2,3,1,2,1,1
01DBS_2020,127,28,0.9221,10,7,0,1,1,3,0,0,0,2
Arena Hill Prairie_2020,637,61,0.9765,15,12,8,4,2,3,1,1,2,1
Black Earth Rettenmund_2020,631,68,0.9636,23,8,5,4,3,4,0,1,3,0
Faville_2020,85,31,0.8014,17,5,0,2,1,1,3,0,2,0
John Muir County Park_2020,675,60,0.9748,17,8,6,3,4,4,0,0,1,1
Oliver Prairie_2020,60,27,0.77,14,6,4,0,1,1,0,0,0,0
Pleasant Valley Conservancy_2020,458,56,0.9783,10,14,4,9,3,2,2,3,1,2
Westport Drumlin_2020,624,74,0.952,30,8,6,5,2,1,1,2,1,1
