SiteID,rest_year,sample_year,rest_age
00WSC,2007,2019,12
00WV0,2012,2018,6
0074F,2002,2018,16
00792,2005,2019,14
007BY,2006,2019,13
007C6,2005,2018,13
007F5,2006,2019,13
007V7,2000,2019,19
00MJ8,2010,2019,9
00MJ9,2010,2019,9
00MJC,2011,2018,7
00WKB,2010,2018,8
00WY5,2011,2019,8
0129D,2015,2019,4
0077R,2004,2019,15
00XMS,2012,2019,7
00XMV,2009,2019,10
0074X,2003,2019,16
0075V,2003,2019,16
0078F,2004,2018,14
0078S,2006,2019,13
007BQ,2005,2019,14
007KH,2009,2019,10
00MBG,2010,2018,8
00VTR,2011,2019,8
00XX7,2015,2019,4
00XYF,2010,2019,9
0129G,2015,2018,3
01DBS,2017,2018,1
0078Z,2003,2018,15
007CQ,1996,2018,22
007R5,1999,2019,20
007XH,2000,2019,19
00MDP,2009,2019,10
00NCQ,2013,2019,6
00XXK,2013,2018,5
