EasementID,Sample_year,random_num,Rich_est,Shannon_asy
Westport Drumlin,2020,23,64.853,30.377
Pleasant Valley Conservancy,2020,20,55.822,22.833
John Muir County Park,2020,6,53.169,24.82
Black Earth Rettenmund,2020,5,60.596,31.126
Arena Hill Prairie,2020,19,55.331,21.101
0129G,2019,33,45.865,19.502
00XYF,2019,18,47.866,20.818
00XXK,2020,2,57.343,24.457
00XX7,2019,17,57.086,22.101
00XMV,2019,21,43.145,13.822
00WY5,2019,7,51.039,23.867
00WV0,2019,36,50.514,23.38
00WV0,2020,27,50.514,23.38
00VTR,2019,8,38.231,6.564
00NCQ,2019,10,55.922,22.052
00NCQ,2020,11,55.922,22.052
00MJC,2019,28,46.963,13.218
00MJC,2020,13,46.963,13.218
00MJ9,2019,35,49.47,22.312
00MJ8,2019,25,48.221,15.135
00MDP,2019,34,48.032,17.793
00MBG,2019,26,46.744,20.703
00MBG,2020,1,46.744,20.703
007XH,2019,24,54.314,29.331
007XH,2020,32,54.314,29.331
007V7,2019,9,56.391,29.659
007R5,2019,14,51.604,22.459
007F5,2019,16,54.676,27.54
007CQ,2020,31,56.549,24.066
007C6,2019,30,53.176,20.679
007C6,2020,3,53.176,20.679
007BY,2019,22,44.797,17.786
0078S,2019,12,50.007,20.289
0078S,2020,4,50.007,20.289
0078F,2020,37,50.281,18.141
0077R,2019,15,38.413,15.178
00792,2019,29,58.781,22.406
