,EasementID,Date,Sample,Adult,Immature,Total,Order,SubOrder,SuperFamily,Family,Notes,ProcessedOn,ProcessedBy,DataCheck,DataChecked:1/31/21
1,007XH,07/31/2019,T1,9,0,9,Hymenoptera,,,Formicidae,,12/17/2019,LD,TRUE,
2,007XH,07/31/2019,T1,3,0,3,Hemiptera,,,Cercopidae,,12/17/2019,LD,TRUE,
3,007XH,07/31/2019,T1,4,4,8,Hemiptera,,,Cicadellidae,,12/17/2019,LD,TRUE,
4,007XH,07/31/2019,T1,3,0,3,Diptera,,,Simuliidae,bb flies >:(,12/17/2019,LD,TRUE,
5,007XH,07/31/2019,T1,2,0,2,Thysanoptera,,,Thripidae,,12/17/2019,LD,TRUE,
6,007XH,07/31/2019,T1,0,1,1,Hemiptera,,,Membracidae,,12/17/2019,LD,TRUE,
7,007XH,07/31/2019,T1,1,1,2,Hemiptera,,,Reduviidae,,12/17/2019,LD,TRUE,
8,007XH,07/31/2019,T1,2,0,2,Hymenoptera,,,Braconidae,,12/17/2019,LD,TRUE,
9,007XH,07/31/2019,T1,2,0,2,Hymenoptera,,,Figitidae,pointy horn on the scutellum,12/17/2019,LD,TRUE,
10,007XH,07/31/2019,T1,4,0,4,Coleoptera,,,Chrysomelidae,,12/17/2019,LD,TRUE,
11,007XH,07/31/2019,T1,1,0,1,Diptera,,,Sepsidae,,12/17/2019,LD,TRUE,
12,007XH,07/31/2019,T1,2,0,2,Diptera,,,Sciomyzidae,long antennae fly,12/17/2019,LD,TRUE,
13,007XH,07/31/2019,T1,0,1,1,Hemiptera,,,Aphididae,,12/19/2019,LD,TRUE,
14,007XH,07/31/2019,T1,2,0,2,Hemiptera,,,Psyllidae,green jumping lice,12/19/2019,LD,TRUE,
15,007XH,07/31/2019,T1,2,0,2,Diptera,,,Tipulidae,sandhill crane fly,12/19/2019,LD,TRUE,
16,007XH,07/31/2019,T1,2,0,2,Diptera,,,Culicidae,sketoe,12/19/2019,LD,TRUE,
17,007XH,07/31/2019,T1,2,0,2,Diptera,Nematocera,,DIPUNK,"I couldn't ID these guys. Thye are the primitive flies, but they are all green, and antennae, mouths, wings, legs, are all destroyed. They are on the smaller side. Not as big as midge/sketoe, but a bit bigger than a black fly.",12/19/2019,LD,TRUE,
18,007XH,07/31/2019,T1,0,3,3,Lepidoptera,,,LEPUNK,"Again with all the caterpillars- I tried, but I find it impossible to ID them.",12/19/2019,LD,TRUE,
19,007XH,07/31/2019,T1,2,0,2,Thysanoptera,,,Phlaeothripidae,,12/19/2019,LD,TRUE,
20,007XH,07/31/2019,T1,1,0,1,Coleoptera,,,Scolytidae,bark beetle. Appears geniculate antennae,12/19/2019,LD,TRUE,
21,007XH,07/31/2019,T1,0,1,1,Hemiptera,,,Tingidae,,12/19/2019,LD,TRUE,
22,007XH,07/31/2019,T1,0,1,1,Hemiptera,,,HEMUNK,Too destroyed,12/19/2019,LD,TRUE,
23,007XH,07/31/2019,T1,1,0,1,Hemiptera,,,Anthocoridae,,12/19/2019,LD,TRUE,
24,007XH,07/31/2019,T1,1,0,1,Diptera,,,Agromyzidae,This one with a yellow scutellum,12/19/2019,LD,TRUE,
25,007XH,07/31/2019,T1,2,0,2,Diptera,,,Tachinidae,,12/19/2019,LD,TRUE,
26,007XH,07/31/2019,T1,1,0,1,Diptera,,,Chloropidae,Thick arista ,12/19/2019,LD,TRUE,
27,007XH,07/31/2019,T1,0,5,5,Orthoptera,,,Tettigoniidae,,12/19/2019,LD,TRUE,
28,007XH,07/31/2019,T1,2,0,2,Lepidoptera,,,LEPUNK,moths with destroyed wings,12/19/2019,LD,TRUE,
29,007XH,07/31/2019,T1,3,0,3,Hymenoptera,,,HYMUNK,superfam chalcidoidea,12/19/2019,LD,TRUE,
30,007XH,07/31/2019,T1,2,0,2,Diptera,,,DIPUNK,,12/19/2019,LD,TRUE,
31,007XH,07/31/2019,T1,3,0,3,Hemiptera,,,Dictyopharidae,In own vial. very weird hemiptera thing; IDed as a planthopper ,01/01/2020,LD,TRUE,
32,007XH,07/10/2019,T3,3,0,3,Hymenoptera,,,Formicidae,,01/13/2020,GW,TRUE,
33,007XH,07/10/2019,T3,6,1,7,Hemiptera,,,Cicadellidae,,01/13/2020,GW,TRUE,
34,007XH,07/10/2019,T3,2,0,2,Hemiptera,,,Tingidae,,01/13/2020,LD,TRUE,
35,007XH,07/10/2019,T3,1,0,1,Hemiptera,,,Nabidae,,01/13/2020,LD,TRUE,
36,007XH,07/10/2019,T3,1,0,1,Diptera,,,Fanniidae,,01/13/2020,GW,TRUE,
37,007XH,07/10/2019,T3,17,1,18,Hemiptera,,,Psyllidae,,01/13/2020,LD,TRUE,
38,007XH,07/10/2019,T3,1,0,1,Hymenoptera,,,Eurytomidae,,01/13/2020,LD,TRUE,
39,007XH,07/10/2019,T3,2,0,2,Odonata,,,Coenagrionidae,damselflies,01/13/2020,GW,TRUE,
40,007XH,07/10/2019,T3,4,0,4,Diptera,,,Chloropidae,,01/13/2020,GW,TRUE,
41,007XH,07/10/2019,T3,10,0,10,Coleoptera,,,Chrysomelidae,,01/13/2020,GW,TRUE,
42,007XH,07/10/2019,T3,2,0,2,Coleoptera,,,Lampyridae,,01/13/2020,GW,TRUE,
43,007XH,07/10/2019,T3,1,0,1,Ephemeroptera,,,Baetidae,,01/13/2020,GW,TRUE,
44,007XH,07/10/2019,T3,32,2,34,Hemiptera,,,Cixiidae,,01/13/2020,GW,TRUE,
45,007XH,07/10/2019,T3,3,0,3,Hemiptera,,,Aphididae,,01/13/2020,GW,TRUE,
46,007XH,07/10/2019,T3,5,0,5,Thysanoptera,,,Thripidae,,01/14/2020,LD,TRUE,
47,007XH,07/10/2019,T3,1,0,1,Coleoptera,,,Curculionidae,weeeeeevil,01/14/2020,LD,TRUE,
48,007XH,07/10/2019,T3,1,0,1,Diptera,,,Culicidae,skeeetoes,01/14/2020,LD,TRUE,
49,007XH,07/10/2019,T3,0,5,5,Lepidoptera,,,LEPUNK,caterpillars. Could not ID,01/14/2020,LD,TRUE,
50,007XH,07/10/2019,T3,0,13,13,Coleoptera,,,COLUNK,bunch of immature beetles. Had no idea for ID,01/14/2020,LD,TRUE,
51,007XH,07/10/2019,T2,15,0,15,Hymenoptera,,,Formicidae,,01/20/2020,GW,TRUE,
52,007XH,07/10/2019,T2,8,0,8,Coleoptera,,,Chrysomelidae,,01/20/2020,GW,TRUE,
53,007XH,07/10/2019,T2,1,0,1,Coleoptera,,,Cantharidae,Lampyridae mimic,01/20/2020,GW,TRUE,
54,007XH,07/10/2019,T2,11,1,12,Hemiptera,,,Cixiidae,,01/20/2020,GW,TRUE,
