00NCQ,00MDP,007R5,007CQ
0.1998905,0.4020125,0.1483771,0.1668484
0.1314348,0.0896023,0.1367852,0.1526718
0.0958379,0.07474844,0.1321484,0.1363141
0.06407448,0.05462386,0.08114374,0.0523446
0.05531216,0.04695735,0.05718702,0.04907306
0.03997809,0.04551989,0.05564142,0.04689204
0.03066813,0.03018687,0.03863988,0.03380589
0.02081052,0.02731193,0.03323029,0.02399128
0.02026287,0.02252036,0.0316847,0.02290076
0.01752464,0.01964542,0.02859351,0.02181025
0.01752464,0.01629133,0.02550232,0.01853871
0.01533406,0.01581217,0.01777434,0.01853871
0.01533406,0.01149976,0.01700155,0.01635769
0.01314348,0.01006229,0.01545595,0.01635769
0.01150055,0.009583134,0.01391035,0.01635769
0.01150055,0.007666507,0.01391035,0.01635769
0.01150055,0.006229037,0.01004637,0.01526718
0.0109529,0.00574988,0.008500773,0.01526718
0.008762322,0.00574988,0.008500773,0.01090512
0.008762322,0.004791567,0.007727975,0.01090512
0.008762322,0.00431241,0.007727975,0.009814613
0.008214677,0.00431241,0.007727975,0.0087241
0.008214677,0.00431241,0.006955178,0.007633588
0.007667032,0.003833253,0.005409583,0.005452563
0.007119387,0.003354097,0.005409583,0.005452563
0.007119387,0.003354097,0.005409583,0.005452563
0.006571742,0.003354097,0.004636785,0.00436205
0.006571742,0.00287494,0.004636785,0.00436205
0.006571742,0.00287494,0.003863988,0.00436205
0.006024096,0.00287494,0.003863988,0.00436205
0.006024096,0.00287494,0.003863988,0.00436205
0.005476451,0.00287494,0.00309119,0.00436205
0.005476451,0.00287494,0.00309119,0.00436205
0.004928806,0.002395783,0.00309119,0.003271538
0.004928806,0.002395783,0.002318393,0.003271538
0.004381161,0.002395783,0.002318393,0.003271538
0.004381161,0.002395783,0.002318393,0.003271538
0.004381161,0.001916627,0.002318393,0.003271538
0.004381161,0.001916627,0.002318393,0.003271538
0.003833516,0.001916627,0.002318393,0.002181025
0.003833516,0.00143747,0.001545595,0.002181025
0.003833516,0.00143747,0.001545595,0.002181025
0.003833516,0.00143747,0.001545595,0.002181025
0.003833516,0.00143747,0.001545595,0.002181025
0.003833516,0.00143747,0.001545595,0.002181025
0.003285871,0.00143747,0.001545595,0.002181025
0.003285871,0.00143747,0.001545595,0.001090513
0.003285871,0.00143747,0.001545595,0.001090513
0.002738226,0.00143747,0.001545595,0.001090513
0.002738226,0.000958313,0.001545595,0.001090513
0.002738226,0.000958313,0.001545595,0.001090513
0.002738226,0.000958313,0.001545595,0.001090513
0.002190581,0.000958313,0.000772798,0.001090513
0.002190581,0.000958313,0.000772798,0.001090513
0.001642935,0.000958313,0.000772798,0.001090513
0.001642935,0.000958313,0.000772798,0.001090513
0.001642935,0.000958313,0.000772798,0.001090513
0.001642935,0.000958313,0.000772798,0.001090513
0.001642935,0.000958313,0.000772798,0.001090513
0.001642935,0.000958313,0.000772798,0.001090513
0.001642935,0.000958313,0.000772798,0.001090513
0.00109529,0.000958313,0.000772798,0.001090513
0.00109529,0.000958313,0.000772798,0.001090513
0.00109529,0.000958313,0.000772798,0.001090513
0.00109529,0.000958313,0.000772798,0.001090513
0.00109529,0.000479157,0.000772798,0.001090513
0.00109529,0.000479157,0.000772798,0.001090513
0.00109529,0.000479157,0.000772798,0.001090513
0.00109529,0.000479157,0.000772798,0.001090513
0.00109529,0.000479157,0.000772798,0.001090513
0.00109529,0.000479157,0.000772798,0.001090513
0.00109529,0.000479157,0.000772798,0.001090513
0.00109529,0.000479157,0.000772798,0.001090513
0.000547645,0.000479157,0.000772798,0.001090513
0.000547645,0.000479157,0,0
0.000547645,0.000479157,0,0
0.000547645,0.000479157,0,0
0.000547645,0,0,0
0.000547645,0,0,0
0.000547645,0,0,0
0.000547645,0,0,0
0.000547645,0,0,0
0.000547645,0,0,0
0.000547645,0,0,0
0.000547645,0,0,0
0.000547645,0,0,0
0.000547645,0,0,0
0.000547645,0,0,0
0.000547645,0,0,0
0.000547645,0,0,0
0.000547645,0,0,0
