0077R,00MJ9,792,00MJ8,00MJC,00WV0,007BY,00WY5
0.1713208,0.1849427,0.2910532,0.3405018,0.3703704,0.1569231,0.2525952,0.1856764
0.1577358,0.1358429,0.1098528,0.1397849,0.1756272,0.1384615,0.1799308,0.09018568
0.1486792,0.1129296,0.07361268,0.08422939,0.06332139,0.09230769,0.07266436,0.08753316
0.0890566,0.06219313,0.05662514,0.06810036,0.04181601,0.06153846,0.05190311,0.08488064
0.08226415,0.06055646,0.04416761,0.05555556,0.04181601,0.04307692,0.03460208,0.07161804
0.06339623,0.03764321,0.03397509,0.02688172,0.03584229,0.03384615,0.03287197,0.0397878
0.05811321,0.03764321,0.03171008,0.02150538,0.02986858,0.02769231,0.03114187,0.0397878
0.04226415,0.03600655,0.02151755,0.01792115,0.02747909,0.02769231,0.02941176,0.0397878
0.02339623,0.03109656,0.01925255,0.01792115,0.02270012,0.02769231,0.02768166,0.03713528
0.02113208,0.02618658,0.01698754,0.01792115,0.01075269,0.02461539,0.02595156,0.03713528
0.01735849,0.02454992,0.01585504,0.01612903,0.01075269,0.02461539,0.02595156,0.02917772
0.01358491,0.0212766,0.01585504,0.0125448,0.01075269,0.02153846,0.02249135,0.02917772
0.009056604,0.01800327,0.01585504,0.0125448,0.009557945,0.01846154,0.02249135,0.02122016
0.008301887,0.01800327,0.01359003,0.01075269,0.009557945,0.01846154,0.02249135,0.01591512
0.008301887,0.01309329,0.01359003,0.01075269,0.008363202,0.01846154,0.01557093,0.01591512
0.006792453,0.01145663,0.01245753,0.01075269,0.007168459,0.01538462,0.01557093,0.0132626
0.006037736,0.01145663,0.01132503,0.01075269,0.007168459,0.01538462,0.01384083,0.0132626
0.006037736,0.009819967,0.01132503,0.008960573,0.007168459,0.01230769,0.01384083,0.0132626
0.005283019,0.009819967,0.01019252,0.008960573,0.007168459,0.01230769,0.01384083,0.01061008
0.004528302,0.009819967,0.01019252,0.007168459,0.005973716,0.01230769,0.006920415,0.01061008
0.003773585,0.008183306,0.01019252,0.007168459,0.005973716,0.01230769,0.006920415,0.00795756
0.003773585,0.008183306,0.01019252,0.007168459,0.005973716,0.009230769,0.005190311,0.00795756
0.003773585,0.008183306,0.009060023,0.007168459,0.005973716,0.009230769,0.005190311,0.00795756
0.003773585,0.008183306,0.009060023,0.005376344,0.005973716,0.009230769,0.005190311,0.00795756
0.003018868,0.008183306,0.00792752,0.005376344,0.005973716,0.009230769,0.005190311,0.00530504
0.002264151,0.006546645,0.006795017,0.005376344,0.004778973,0.009230769,0.005190311,0.00530504
0.002264151,0.006546645,0.006795017,0.005376344,0.004778973,0.009230769,0.003460208,0.00530504
0.002264151,0.006546645,0.006795017,0.003584229,0.003584229,0.009230769,0.003460208,0.00530504
0.002264151,0.004909984,0.006795017,0.003584229,0.003584229,0.006153846,0.003460208,0.00530504
0.002264151,0.004909984,0.005662514,0.003584229,0.003584229,0.006153846,0.003460208,0.00530504
0.002264151,0.004909984,0.005662514,0.003584229,0.003584229,0.006153846,0.003460208,0.00530504
0.002264151,0.004909984,0.005662514,0.003584229,0.003584229,0.006153846,0.003460208,0.00265252
0.001509434,0.003273322,0.004530011,0.003584229,0.002389486,0.006153846,0.003460208,0.00265252
0.001509434,0.003273322,0.004530011,0.003584229,0.002389486,0.006153846,0.003460208,0.00265252
0.001509434,0.003273322,0.004530011,0.001792115,0.002389486,0.006153846,0.003460208,0.00265252
0.001509434,0.003273322,0.003397508,0.001792115,0.002389486,0.006153846,0.003460208,0.00265252
0.001509434,0.003273322,0.003397508,0.001792115,0.002389486,0.006153846,0.001730104,0.00265252
0.001509434,0.003273322,0.003397508,0.001792115,0.002389486,0.006153846,0.001730104,0.00265252
0.001509434,0.001636661,0.003397508,0.001792115,0.002389486,0.006153846,0.001730104,0.00265252
0.001509434,0.001636661,0.003397508,0.001792115,0.001194743,0.003076923,0.001730104,0.00265252
0.001509434,0.001636661,0.003397508,0.001792115,0.001194743,0.003076923,0.001730104,0.00265252
0.001509434,0.001636661,0.002265006,0.001792115,0.001194743,0.003076923,0.001730104,0.00265252
0.000754717,0.001636661,0.002265006,0.001792115,0.001194743,0.003076923,0.001730104,0.00265252
0.000754717,0.001636661,0.002265006,0.001792115,0.001194743,0.003076923,0.001730104,0.00265252
0.000754717,0.001636661,0.002265006,0.001792115,0.001194743,0.003076923,0.001730104,0.00265252
0.000754717,0.001636661,0.002265006,0.001792115,0.001194743,0.003076923,0.001730104,0.00265252
0.000754717,0.001636661,0.002265006,0.001792115,0.001194743,0.003076923,0.001730104,0.00265252
0.000754717,0.001636661,0.002265006,0.001792115,0.001194743,0.003076923,0.001730104,0.00265252
0.000754717,0.001636661,0.002265006,0.001792115,0.001194743,0.003076923,0,0
0.000754717,0.001636661,0.001132503,0.001792115,0.001194743,0.003076923,0,0
0.000754717,0.001636661,0.001132503,0.001792115,0.001194743,0.003076923,0,0
0.000754717,0.001636661,0.001132503,0.001792115,0.001194743,0.003076923,0,0
0.000754717,0.001636661,0.001132503,0,0.001194743,0.003076923,0,0
0,0.001636661,0.001132503,0,0.001194743,0.003076923,0,0
0,0.001636661,0.001132503,0,0.001194743,0.003076923,0,0
0,0,0.001132503,0,0.001194743,0.003076923,0,0
0,0,0.001132503,0,0.001194743,0,0,0
0,0,0.001132503,0,0.001194743,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
0,0,0.001132503,0,0,0,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
