EntryOrder,EasementID,Year,Module,Corner,Depth,SppCode,PctCover1x1,Notes,DataProofed,Photo,Sample,UnkFamily,UnkGenus
1,0078F,2018,10,3,5,SORNUT,46,,1,0,0,,
2,0078F,2018,10,3,4,ANDGER,16,,1,0,0,,
3,0078F,2018,10,3,3,UNKN01,0.3,longheart,1,0,0,,
4,0078F,2018,10,3,3,MONFIS,2,,1,0,0,,
5,0078F,2018,10,3,3,SILPER,10,,1,0,0,,
6,0078F,2018,10,3,3,PANVIR,1,switchgrass,1,0,0,,
7,0078F,2018,10,3,2,TRIREP,,,1,0,0,,
8,0078F,2018,10,3,2,UNKN02,,unk 1; looks like solidago except for flower head,1,0,0,,
9,0078F,2018,10,0,1,SOLCAN,,,1,0,0,,
10,0078F,2018,10,0,1,UNKN03,,SOLSPP; gall,1,0,0,,
11,0078F,2018,1,1,5,ANDGER,75,,1,0,0,,
12,0078F,2018,1,1,4,SILPER,18,,1,0,0,,
13,0078F,2018,1,1,3,PANVIR,2,,1,0,0,,
14,0078F,2018,1,1,3,UNKN01,1,longheart,1,0,0,,
15,0078F,2018,1,1,2,PHAARU,,,1,0,0,,
16,0078F,2018,1,1,2,ELYVIR,,,1,0,0,,
17,0078F,2018,1,1,2,SORNUT,,,1,0,0,,
18,0078F,2018,1,1,2,EUTMAC,,on data sheet as EUPMAC?,1,0,0,,
19,0078F,2018,1,1,2,UNKN03,,"SOLSPP; 3 main veins, smaller lvs & infloresence than SOLCAN",1,0,0,,
20,0078F,2018,1,1,2,MONFIS,,,1,0,0,,
21,0078F,2018,1,2,5,ANDGER,60,,1,0,0,,
22,0078F,2018,1,2,4,SILPER,22,,1,0,0,,
23,0078F,2018,1,2,3,CIRDIS,1,,1,0,0,,
24,0078F,2018,1,2,3,UNKN01,1,longheart,1,0,0,,
25,0078F,2018,1,2,3,SORNUT,2,,1,0,0,,
26,0078F,2018,1,2,3,ELYVIR,0.8,,1,0,0,,
27,0078F,2018,1,2,2,SOLCAN,,,1,0,0,,
28,0078F,2018,1,2,2,MONFIS,,,1,0,0,,
29,0078F,2018,1,0,1,ASCSYR,,,1,0,0,,
30,0078F,2018,4,0,1,UNKN04,,HELAUT; sneezeweed,1,0,0,,
31,0078F,2018,4,0,1,UNKN05,,Ironweed,1,0,0,,
32,0078F,2018,5,0,1,UNKN06,,Salix spp; willow spp.,1,0,0,,
33,0078F,2018,8,0,1,UNKN07,,"Setaria spp; purple hairs, 3"" infloresence, stem glaberous, top leaves hairy",1,0,0,,
34,0078F,2018,7,0,1,UNKN08,,Cornus spp; CORSTO,1,0,0,,
35,0078F,2018,3,4,5,CIRDIS,1,Canada thistle,1,0,0,,
36,0078F,2018,3,4,5,ANDGER,73,Big bluestem,1,0,0,,
37,0078F,2018,3,4,4,SILPER,10,,1,0,0,,
38,0078F,2018,3,4,3,MONFIS,2,,1,0,0,,
39,0078F,2018,3,4,3,UNKN01,2,Longheart,1,0,0,,
40,0078F,2018,3,4,3,SORNUT,2,Indian grass,1,0,0,,
41,0078F,2018,3,4,2,ELYVIR,,,1,0,0,,
42,0078F,2018,3,4,2,UNKN09,,"RUBSPP; underside of lvs very white, occidentalis?",1,0,0,,
43,0078F,2018,3,2,5,SORNUT,17,,1,0,0,,
44,0078F,2018,3,2,5,SOLCAN,10,,1,0,0,,
45,0078F,2018,3,2,4,ANDGER,45,,1,0,0,,
46,0078F,2018,3,2,4,CIRDIS,5,,1,0,0,,
47,0078F,2018,3,2,4,POPTRE,12,,1,0,0,,
48,0078F,2018,3,2,3,UNKN01,2,longheart,1,0,0,,
49,0078F,2018,3,2,2,VITRIP,,,1,0,0,,
50,0078F,2018,3,2,2,SILPER,,,1,0,0,,
51,0078F,2018,3,0,1,UNKN10,,Boneset,1,0,0,,
52,0078F,2018,7,4,5,SILPER,3,,1,0,0,,
53,0078F,2018,7,4,5,ANDGER,72,,1,0,0,,
54,0078F,2018,7,4,5,SORNUT,1,,1,0,0,,
55,0078F,2018,7,4,3,MONFIS,1,,1,0,0,,
56,0078F,2018,7,4,3,CIRDIS,0.7,,1,0,0,,
57,0078F,2018,7,4,3,UNKN01,1,longheart,1,0,0,,
58,0078F,2018,7,2,5,ANDGER,54,,1,0,0,,
59,0078F,2018,7,2,3,SILPER,10,,1,0,0,,
60,0078F,2018,7,2,2,MONFIS,,,1,0,0,,
61,0078F,2018,7,2,2,UNKN01,,longheart,1,0,0,,
62,0078F,2018,7,2,2,SORNUT,,,1,0,0,,
63,0078F,2018,7,2,2,ELYVIR,,,1,0,0,,
64,0078F,2018,7,0,1,RHACAT,,on data sheet as RHAHAT?,1,0,0,,
65,0078F,2018,7,0,1,SOLCAN,,,1,0,0,,
66,0078F,2018,7,0,1,SOLGIG,,,1,0,0,,
67,0078F,2018,7,0,1,EUTMAC,,on data sheet as EUPMAC?; joe-pye weed,1,0,0,,
68,0078F,2018,10,1,5,ANDGER,82,,1,0,0,,
69,0078F,2018,10,1,5,UNKN01,1,Longheart,1,0,0,,
70,0078F,2018,10,1,3,MONFIS,5,,1,0,0,,
71,0078F,2018,10,1,3,ELYVIR,0.5,,1,0,0,,
72,0078F,2018,10,1,3,CIRDIS,0.3,,1,0,0,,
73,0078F,2018,10,1,2,SORNUT,,,1,0,0,,
74,0078F,2018,10,1,2,RUDHIR,,,1,0,0,,
75,0078F,2018,10,1,2,SOLGIG,,,1,0,0,,
76,0078F,2018,10,1,2,SILPER,,,1,0,0,,
77,0078F,2018,6,0,1,ASCSYR,,,1,0,0,,
78,0078F,2018,6,0,1,RUDHIR,,,1,0,0,,
79,0129G,2018,3,4,5,TRIREP,3,,1,0,0,,
80,0129G,2018,3,4,5,UNKN01,14,W grass,1,0,0,,
81,0129G,2018,3,4,4,ELYCAN,5,,1,0,0,,
82,0129G,2018,3,4,4,FRAPEN,7,Green Ash - check sci. name,1,0,0,,
83,0129G,2018,3,4,3,AMBART,8,,1,0,0,,
84,0129G,2018,3,4,3,ELYVIR,9,,1,0,0,,
85,0129G,2018,3,4,3,ASCSYR,4,,1,0,0,,
86,0129G,2018,3,4,3,SILPER,2,Aster spp.,1,0,0,,
87,0129G,2018,3,4,3,UNKN03,0.6,PEN SPP; penstemon spp. 1,1,0,0,,
88,0129G,2018,3,4,3,UNKN04,8,"UNK 1; small, alt. leaves",1,0,0,,
89,0129G,2018,3,4,3,ULMRUB,2,Slippery elm,1,0,0,,
90,0129G,2018,3,4,3,TAROFF,0.7,,1,0,0,,
91,0129G,2018,3,4,3,UNKN05,0.5,"UNK 2; opp. Comp. lvs, small",1,0,0,,
92,0129G,2018,3,4,3,POPTRE,0.2,Quaking aspen,1,0,0,,
93,0129G,2018,3,4,3,UNKN06,5,CAR spp 1; carex spp. - no flower on seed,1,0,0,,
94,0129G,2018,3,4,2,RUDHIR,,,1,0,0,,
95,0129G,2018,3,4,2,EUTMAC,,spotted Joe-Pye Weed (was EUPMAC),1,0,0,,
96,0129G,2018,3,4,2,ERISTR,,,1,0,0,,
97,0129G,2018,3,4,2,RUMCRI,,curly dock,1,0,0,,
98,0129G,2018,3,4,2,PHAARU,,Reed canary grass,1,0,0,,
99,0129G,2018,3,4,2,UNKN07,,ZIZSPP; leaves remind me of Zizia,1,0,0,,
100,0129G,2018,3,4,2,SOLCAN,,,1,0,0,,
101,0129G,2018,3,4,2,PERMAC,,spotted lady's thumb,1,0,0,,
102,0129G,2018,3,2,5,PHAARU,15,,1,0,0,,
103,0129G,2018,3,2,5,FRAPEN,15,,1,0,0,,
104,0129G,2018,3,2,5,UNKN04,0.8,UNK 1; same as above,1,0,0,,
105,0129G,2018,3,2,5,UNKN08,11,"UNK 3; alt., stipule present, narrowly oblong leaves",1,0,0,,
106,0129G,2018,3,2,4,ELYCAN,2,,1,0,0,,
107,0129G,2018,3,2,4,UNKN09,1,Sedge 2; sedge 2 = rush,1,0,0,,
108,0129G,2018,3,2,3,ELYVIR,3,,1,0,0,,
109,0129G,2018,3,2,3,POPTRE,0.5,,1,0,0,,
110,0129G,2018,3,2,3,UNKN10,1,Grassy sol,1,0,0,,
111,0129G,2018,3,2,3,ULMRUB,2,,1,0,0,,
112,0129G,2018,3,2,3,SOLCAN,2,,1,0,0,,
113,0129G,2018,3,2,3,UNKN11,5,"WINGED; unknown, alt. lvs, toothed",1,0,0,,
114,0129G,2018,3,2,3,UNKN12,3,"longheart; lvs. Clasping heart shaped, linear, plant very hairy",1,0,0,,
115,0129G,2018,3,2,3,AMBART,1,,1,0,0,,
116,0129G,2018,3,2,3,TRIREP,0.3,,1,0,0,,
117,0129G,2018,3,2,2,RUDHIR,,on sheet as RUHHIR?,1,0,0,,
118,0129G,2018,3,2,2,UNKN13,,SEDGE 3; fun sedge - life of party,1,0,0,,
119,0129G,2018,3,2,2,ERISTR,,,1,0,0,,
120,0129G,2018,3,2,2,UNKN14,,ROSA SPP; unknown rose,1,0,0,,
121,0129G,2018,3,2,2,CIRDIS,,,1,0,0,,
122,0129G,2018,3,2,2,UNKN06,,CARSPP 1,1,0,0,,
