WSppCode,Genus,Species,Family,CommonName,USDACode,ZSppCode,ClonalityButler,USDACuttings,USDATuber,USDABareRoot,UDSASprigs,ClonalityOther,ClonalityOtherSource,ClonalityCitation,ClonalCongener,ClonalGrowthOrgans,ClonalityCat,ClonalityCatFinal,ClonalityNotes,ClonalityDone?,USDAGroup,USDAHabit,USDADuration,USDANativeStatus,USDANotes,Kew1000seeds_g,PollMode1,PollMode2,Self-Compat?,PollModeSource,PollModeCongener,PollModeCite,PollModeNotes,PollDone?,DispMode1,DispMode2,DustLikeWindDisp?,DispModeSource,DispMode1Congener,DispModeCite,DispersalDone?,DispersalNotes,FlowerColor1,FlowerColor2,FlowerColor3,FlowerColorSource,FlowerColorNotes,
ABUTHE,Abutilon,theophrasti,Malvaceae,velvetleaf,ABTH,,,,,,,0,Kansas Native Plants,http://www.kansasnativeplants.com/guide/plant_detail.php?plnt_id=130,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,Annual,I,,9,Bee,Butterfly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/weeds/plants/velvetleaf.htm,also Flies,1,Unassisted,,0,Kew,A. fraseri,"Jurado et al, 1991",1,,,,,Voss&Reznicek2011,yellow-orange,
ACAANG,Acacia,angustissima,Fabaceae,prairie acacia,ACAN,ACAANG,,,,,,1,Flora of MO,"Yatskievych 1999, 2006, 2013",,Rhizomes,PerClonGuer,ClonalGuer,"?often clumped or colonial from a woody, rhiz. Rootstock.?-Y",1,Dicot,Forb_herb,Perennial,N,,11.6,Bee,,0,primary paper,,Raine 2007,"""Bees represented 93.1% of visitors, with butterflies, wasps, beetles, ants and flies all at very low percentages""",1,Ant,,0,Kew,Acacia acradenia,"Jurado et al, 1991",1,,,,,,not found in sources,
ACHMIL,Achillea,millefolium,Asteraceae,common yarrow,ACMI2,,1,0,0,0,1,1,Evolutionary Ecology Vol. 15,Tamm et al. 2002,,Rhizomes,PerClonPhl,ClonalPhl,,1,Dicot,Forb_herb,Perennial,NI,,0.2,Fly,Bee,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/weeds/plants/yarrow.htm,,1,Unassisted,,0,Field Knowledge,,"AA, Field Knowledge",1,,white,pink,,Voss&Reznicek2011,,
ACAMON,Acalypha,monococca,Euphorbiaceae,slender threeseed mercury,ACMO4,ACAMON,,,,,,0,,,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,Annual,N,,1.74,Wind,,0,primary paper,,Levin 1998,,1,,,0,,,,1,No solution as of 5/11/16,,,,,not found in sources,
ACENEG,Acer,negundo,Aceraceae,boxelder,ACNE2,,,1,0,1,0,0,US Forest Service,http://www.na.fs.fed.us/pubs/silvics_manual/volume_2/acer/negundo.htm,,,PerNoClon,NonClonal,Sprouting/ root suckers,1,Dicot,Tree,Perennial,N,,36,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/trees/plants/box_elder.htm,,1,Wind,,0,Kew,,"Matlack, 1987",1,,,,,,,
ACESAC,Acer,saccharinum,Aceraceae,silver maple,ACSA2,,,1,0,1,0,0,US Forest Service,http://www.na.fs.fed.us/pubs/silvics_manual/volume_2/acer/saccharinum.htm,,,PerNoClon,NonClonal,Sprouting/ root suckers,1,Dicot,Tree,Perennial,N,,201.5,Wind,,0,primary paper,,Saeki 2011,"Bees visit, but are not effective pollinators",1,Wind,,0,Kew,,"Farmer, 1997",1,,,,,,,
AGAGAT,Agalinis,gattingeri,Scrophulariaceae,roundstem false foxglove,AGGA,AGAGAT,,,,,,0,,,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,Annual,N,,,Bee,,0,primary paper,,"Penskar, M.R. 2004. Special plant abstract for
Agalinis gattingeri (Gattinger?s gerardia). Michigan
Natural Features Inventory. Lansing, MI. 3 pp.",,1,Unassisted,Wind,1,Minnesota DNR,,http://www.dnr.state.mn.us/rsg/profile.html?action=elementDetail&selectedElement=PDSCR010B0,1,,,,,Voss&Reznicek2011,pink-purple,
AGRGIG,Agrostis,gigantea,Poaceae,redtop,AGGI2,,,0,0,0,0,1,US Forest Service,http://www.fs.fed.us/database/feis/plants/graminoid/agrgig/all.html#BOTANICAL%20AND%20ECOLOGICAL%20CHARACTERISTICS,,Rhizomes,PerClonPhl,ClonalPhl,,1,Monocot,Graminoid,Perennial,I,,0.08,Wind,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/grasses/plants/redtop.htm,,1,Tumbling,Unassisted,0,Kew,A. hiemalis,"Van der Pijl, 1982",1,,,,,,,
AGAPUR,Agalinis,purpurea,Scrophulariaceae,purple false foxglove,AGPU5,,,,,,,0,,,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,Annual,N,,0.07,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/pf_foxglovex.htm,,1,Wind,,1,Proceedings of the Academy of Natural Sciences of Philadelphia Vol. 81,Agalinis spp.,"Pennell, 1929",1,,,,,Voss&Reznicek2011,pink-purple,
ALLCAN,Allium,canadense,Liliaceae,meadow garlic,ALCA3,ALLCAN,,,,,,0,Friends of Eloise Butler,http://www.friendsofthewildflowergarden.org/pages/plants/wildgarlic.html,,,PerNoClon,NonClonal,Bulbs,1,Monocot,Forb_herb,Perennial,N,,8.9,Bee,Fly,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/wild_garlicx.htm,,1,Unassisted,,0,Field Experience,,"Jesse Miller, Field experience",1,,pink,white,,Chadde2013,perianth segments pink or white,
ALLCER,Allium,cernuum,Liliaceae,nodding onion,ALCE2,,,,,,,1,Friends of Eloise Butler,http://www.friendsofthewildflowergarden.org/pages/plants/noddingwildonion.html,,Rhizome,PerClonPhl,ClonalPhl,Bulbs,1,Monocot,Forb_herb,Perennial,N,,3.85,Bee,,0,Illinois Wildflowers,,http://www.illinoiswildflowers.info/prairie/plantx/nod_onionx.htm,,1,Unassisted,,0,Field Experience,,"Jesse Miller, Field experience",1,,,,,Chadde2013,perianth segments white to rose,
ALLPET,Alliaria,petiolata,Brassicaceae,garlic mustard,ALPE4,,,,,,,0,Michigan State University,http://www.ipm.msu.edu/invasive_species/garlic_mustard/about_garlic_mustard,,,AnnSeed,NonClonal,,1,Dicot,Forb_herb,AB,I,,3.04,Bee,Fly,0,primary paper,,Cruden 1996,,1,Unassisted,Wind,1,National Park Service,,http://www.nps.gov/plants/alien/pubs/midatlantic/alpe.htm,1,,white,,,Voss&Reznicek2011,,
