,ClonalityCatFinal,USDAGroup,USDAHabit,USDADuration,PollMode1,DispMode1,Genus,Species,Family,USDACode,WorZ_SppCode,seedmass_mg,dispmass_mg,n_seed_pop,leaf_height_cm,flwr_height_cm,n_height_pop,fresh_mass_g,dry_mass_g,n_leaf_pop,WI_native,WI_C,WI_W,MO_native,MO_C,MO_W,underground,jmclonal,WI_wet,MO_wet,sla,n_sla_pop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Ant,Acacia,angustissima,Fabaceae,ACAN,ZACAANG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,10,5,5,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NonClonal,Dicot,Forb_herb,Annual,Wind,NA,Acalypha,monococca,Euphorbiaceae,ACMO4,ZACAMON,6.945285714,6.945285714,1,19.6,17.8,1,0.33,0.12,1,NA,NA,NA,native,3,5,1,1,NA,NA,163.0083333,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NonClonal,Dicot,Forb_herb,Annual,Bee,Unassisted,Agalinis,gattingeri,Scrophulariaceae,AGGA,ZAGAGAT,NA,NA,NA,47.8,46.5,1,NA,NA,NA,NA,NA,NA,native,7,5,1,1,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NonClonal,Monocot,Forb_herb,Perennial,Bee,Unassisted,Allium,canadense,Liliaceae,ALCA3,ZALLCAN,0.805133333,0.805133333,1,27.3,31.8,1,2.4775,0.4725,2,NA,NA,NA,native,2,3,3,3,FACU,FACU,210.6864407,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NonClonal,Monocot,Forb_herb,Perennial,Bee,Unassisted,Allium,stellatum,Liliaceae,ALST,ZALLSTE,2.680866667,2.680866667,1,35.2,36.8,1,NA,NA,NA,NA,NA,NA,native,6,5,3,3,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NonClonal,Dicot,Forb_herb,Annual,Wind,Unassisted,Ambrosia,artemisiifolia,Asteraceae,AMAR2,ZAMBART,NA,NA,NA,50.3,51,1,0.685,0.17,1,NA,NA,NA,native,0,3,1,1,FACU,FACU,197.2823529,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ClonalPhl,Dicot,Shrub,Perennial,Bee,Mammal,Amorpha,canescens,Fabaceae,AMCA6,ZAMOCAN,1.8036,2.7247,2,46.2,52.4,1,1.4625,0.5475,2,NA,NA,NA,native,8,5,4,4,NA,NA,182.7300517,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
