REM,Con,SF,,,,,,,,,,,
0.168131243,0.146115392,0.130017971,,,,,,,,,,,
0.09755938,0.10234821,0.113669339,,,,,,,,,,,
0.09685848,0.093646821,0.091563692,,,,,,,,,,,
0.079485414,0.064601677,0.065023603,,,,,,,,,,,
0.034396018,0.056733823,0.054633221,,,,,,,,,,,
0.027231885,0.056451804,0.047426672,,,,,,,,,,,
0.026148234,0.042431085,0.043944703,,,,,,,,,,,
0.024315103,0.041726322,0.038367058,,,,,,,,,,,
0.023121227,0.030804769,0.036270693,,,,,,,,,,,
0.021026212,0.022050358,0.027226226,,,,,,,,,,,
0.018916455,0.021374763,0.022604823,,,,,,,,,,,
0.017512259,0.020006973,0.018676262,,,,,,,,,,,
0.016346873,0.019446607,0.018518857,,,,,,,,,,,
0.015551093,0.016790779,0.017307692,,,,,,,,,,,
0.014942577,0.015254455,0.015211844,,,,,,,,,,,
0.01448799,0.014945531,0.012587612,,,,,,,,,,,
0.01434432,0.011926688,0.012266049,,,,,,,,,,,
0.013627914,0.011921941,0.012221785,,,,,,,,,,,
0.013292084,0.011640416,0.011779042,,,,,,,,,,,
0.01322986,0.011478772,0.011132075,,,,,,,,,,,
0.012458059,0.009793615,0.010009598,,,,,,,,,,,
0.010320513,0.009601409,0.009998888,,,,,,,,,,,
0.010254099,0.008281122,0.007098122,,,,,,,,,,,
0.009935574,0.007417651,0.006677008,,,,,,,,,,,
0.009473874,0.007360609,0.006167394,,,,,,,,,,,
0.008853992,0.006429672,0.006096151,,,,,,,,,,,
0.008563739,0.005552928,0.006004604,,,,,,,,,,,
0.007991487,0.005402623,0.005995055,,,,,,,,,,,
0.007424188,0.004680805,0.005690481,,,,,,,,,,,
0.006871904,0.00460185,0.005500062,,,,,,,,,,,
0.006332295,0.004443315,0.005426793,,,,,,,,,,,
0.006240563,0.004289481,0.005137381,,,,,,,,,,,
0.005902688,0.004072832,0.00464191,,,,,,,,,,,
0.005727888,0.003949934,0.004295325,,,,,,,,,,,
0.005576923,0.003948465,0.004186171,,,,,,,,,,,
0.005554474,0.00387988,0.004154678,,,,,,,,,,,
0.005365758,0.003852649,0.004139283,,,,,,,,,,,
0.005358356,0.003816794,0.003851386,,,,,,,,,,,
0.005133458,0.003656591,0.003499515,,,,,,,,,,,
0.004761279,0.003388215,0.003285465,,,,,,,,,,,
0.003970803,0.003008804,0.003142416,,,,,,,,,,,
0.003967248,0.002745926,0.003115366,,,,,,,,,,,
0.003930131,0.002592216,0.003106562,,,,,,,,,,,
0.003721306,0.002558072,0.002921247,,,,,,,,,,,
0.003653846,0.002528479,0.002919607,,,,,,,,,,,
